대여소명,대여소_ID_num,지하철역_수_1km,학교_수_1km,위도,경도,경度
낙성대동_003_1,1185,2.0,12.0,37.478771,126.958694,126.958694
옥수동_003_1,1187,4.0,7.0,37.543663,127.014061,127.014061
청룡동_021_1,1188,5.0,13.0,37.476627,126.943642,126.943642
청룡동_069_1,1189,2.0,14.0,37.48122,126.951576,126.951576
신정6동_002_2,1190,2.0,17.0,37.516865,126.862961,126.862961
신정6동_002_3,1191,1.0,19.0,37.515842,126.864113,126.864113
신정6동_036_1,1192,2.0,8.0,37.514664,126.871941,126.871941
신정6동_026_2,1193,2.0,8.0,37.515156,126.87249,126.87249
신수동_005_1,1194,4.0,15.0,37.547459,126.938377,126.938377
"금호2,3가동_033_1",1195,4.0,15.0,37.5522,127.025055,127.025055
